A1,a
B1,b
C1,c
D1,d
E1,e
F1,f
G1,g
H1,h
A2,i
B2,j
C2,k
D2,l
E2,m
F2,n
G2,o
H2,
A3,
B3,
C3,
D3,
E3,
F3,
G3,
H3,
A4,
B4,
C4,
D4,
E4,
F4,
G4,
H4,
A5,
B5,
C5,
D5,
E5,
F5,
G5,
H5,
A6,
B6,
C6,
D6,
E6,
F6,
G6,
H6,
A7,
B7,
C7,
D7,
E7,
F7,
G7,
H7,
A8,
B8,
C8,
D8,
E8,
F8,
G8,
H8,
A9,
B9,
C9,
D9,
E9,
F9,
G9,
H9,
A10,
B10,
C10,
D10,
E10,
F10,
G10,
H10,
A11,
B11,
C11,
D11,
E11,
F11,
G11,
H11,
A12,
B12,
C12,
D12,
E12,
F12,
G12,
H12,
